id,sector_id,tasa_interes_promocional,tasa_interes_establecida,tasa_mora,comision_flat,aporte_social,plazo_maximo,monto_maximo,monto_minimo

"montos_agricola","A",6,6,3,2.5,1.5,36,1200000,20000
"montos_turismo","T",9,16,3,2.5,1.5,60,1200000,20000
"montos_artesanal","AR",8,12,3,2.5,1.5,36,1200000,20000
"montos_cyt","CYT",6,6,3,2.5,1.5,36,1200000,20000
"montos_pyme","PYME",12,14,3,2.5,1.5,36,1200000,20000
"montos_pymi","PYMI",12,14,3,2.5,1.5,36,1200000,20000
"montos_microempresa","MEMP",8,12,3,2.5,1.5,36,1200000,20000
"montos_cooperativa","COOP",6,6,3,2.5,1.5,36,1200000,20000
